date,portfolio_value,USDT_balance,BTC_balance,BTC_price,ETH_balance,BNB_balance,SOL_balance,other_balance,daily_return,cumulative_return
2025-05-03,188602.55681297,4.091898769982436,1.96751,95856.42,0.0,0.0,0.0,0.0,-0.010638128811673364,2.5151348577271895
2025-05-04,185496.25202497,4.091898769982436,1.96751,94277.62,0.0,0.0,0.0,0.0,-0.016470109634199814,2.457240201241426
2025-05-05,186393.55463556998,4.091898769982436,1.96751,94733.68,0.0,0.0,0.0,0.0,0.004837308575265542,2.4739639389136436
2025-05-06,195364.70823358002,2.0728835799823173,2.0175,96834.02,0.0,0.0,0.0,0.0,0.048130170678648776,2.6411664162250283
2025-05-07,195761.10663358,2.0728835799823173,2.0175,97030.5,0.0,0.0,0.0,0.0,0.002029017439147962,2.648554406382389
2025-05-08,208332.35088358002,2.0728835799823173,2.0175,103261.6,0.0,0.0,0.0,0.0,0.0642172720934322,2.8828546174447376
2025-05-09,272751.0451894,65005.05536439998,2.0175,102971.99,0.0,0.0,0.0,0.0,0.30921119083333526,4.08347671753754
2025-05-10,276458.2821394,65005.05536439998,2.0175,104809.53,0.0,0.0,0.0,0.0,0.013592017392364708,4.152571421495991
2025-05-11,275063.1203644,65005.05536439998,2.0175,104118.0,0.0,0.0,0.0,0.0,-0.005046554453726038,4.126568689240699
2025-05-12,272386.5434644,65005.05536439998,2.0175,102791.32,0.0,0.0,0.0,0.0,-0.00973077341831241,4.076683210912282
2025-05-13,271109.8157401001,270899.52622569987,0.002020000000002114,104103.72,0.0,0.0,0.0,0.0,-0.004687190887117887,4.05288782762931
2025-05-14,271108.6120221001,270899.52622569987,0.002020000000002114,103507.82,0.0,0.0,0.0,0.0,-4.439964656932638e-06,4.05286539298594
2025-05-15,271109.1289199001,270899.52622569987,0.002020000000002114,103763.71,0.0,0.0,0.0,0.0,1.9066078209561965e-06,4.052875026818617
2025-05-16,271108.5233037001,270899.52622569987,0.002020000000002114,103463.9,0.0,0.0,0.0,0.0,-2.2338465783811046e-06,4.052863739471027
2025-05-17,271107.8420587001,270899.52622569987,0.002020000000002114,103126.65,0.0,0.0,0.0,0.0,-2.5128129196305693e-06,4.052851042569741
2025-05-18,271114.5638309001,270899.52622569987,0.002020000000002114,106454.26,0.0,0.0,0.0,0.0,2.4793721011384662e-05,4.052976321548803
