date,datetime,open_price,high_price,low_price,close_price,volume_btc,volume_usdt,trade_count,taker_buy_volume_btc,taker_buy_volume_usdt,price_change,price_change_abs,high_low_ratio,volume_ratio,ma_7,ma_30,ma_90
2025-04-02,2025-04-02 00:00:00+00:00,85158.35,88500.0,82320.0,82516.29,39931.457,3417279759.830764,5338238,20739.67809,1777735583.840748,-0.0310251468030025,-2642.050000000003,1.0750728862973762,0.5202195046298428,83845.65142857142,84644.18,93147.12022222222
2025-04-03,2025-04-03 00:00:00+00:00,82516.28,83998.02,81211.24,83213.09,27337.84135,2259299724.8643928,4117486,13951.52792,1153439398.6198013,0.008444393222235336,696.8000000000029,1.0343152007037448,0.5105296061101555,83271.52,84508.55033333335,92980.8858888889
2025-04-04,2025-04-04 00:00:00+00:00,83213.09,84720.0,81659.0,83889.87,32915.53976,2739842666.426737,4992586,15896.18779,1323832046.264688,0.00813309540602325,676.7799999999988,1.0374851516672994,0.48317812642548946,83195.16142857143,84284.67899999999,92821.65666666668
2025-04-05,2025-04-05 00:00:00+00:00,83889.87,84266.0,82379.95,83537.99,9360.40468,779626577.9013437,1575750,4029.64658,335654613.7277184,-0.004194546969735313,-351.8799999999901,1.0228945271270498,0.4305325437099108,83322.22571428571,84071.54899999998,92656.92755555557
2025-04-06,2025-04-06 00:00:00+00:00,83537.99,83817.63,77153.83,78430.0,27942.71436,2239085051.1529646,3948493,12493.8449,1001459573.494466,-0.061145713465215135,-5107.990000000005,1.0863703072161162,0.4472628554144416,82756.51285714285,83792.49066666666,92392.4208888889
2025-04-07,2025-04-07 00:00:00+00:00,78430.0,81243.58,74508.0,79163.24,78387.53089,6084614024.150647,9736596,39075.84274,3034375055.6843963,0.009348973607038236,733.2400000000052,1.090400762334246,0.4986963911992701,82272.68857142856,83557.18366666668,92194.739
2025-04-08,2025-04-08 00:00:00+00:00,79163.24,80867.99,76239.9,76322.42,35317.32063,2775277777.102461,5512751,15704.73031,1235370767.1153505,-0.03588559538492875,-2840.820000000007,1.0607043031273653,0.44513409695700584,81010.41428571429,83410.11866666666,91986.53688888888
2025-04-09,2025-04-09 00:00:00+00:00,76322.42,83588.0,74620.0,82615.22,75488.28772,5980231256.222496,7741252,39491.62958,3137004042.959261,0.0824502158081466,6292.800000000003,1.1201822567676227,0.5245623302100858,81024.54714285715,83544.09733333332,91876.12277777778
2025-04-10,2025-04-10 00:00:00+00:00,82615.22,82753.21,78464.36,79607.3,33284.80718,2690294353.847842,4529545,16339.9191,1321475356.0200849,-0.036408787630172745,-3007.9199999999983,1.0546598481144815,0.49120102940781213,80509.43428571429,83433.241,91708.136
2025-04-11,2025-04-11 00:00:00+00:00,79607.3,84300.0,78969.58,83423.84,34435.43797,2830363945.1787524,4423157,18019.58367,1482515278.9177043,0.047942085713244875,3816.5399999999936,1.0674996625282798,0.5237896283419748,80442.85857142857,83424.69833333333,91583.95655555556
2025-04-12,2025-04-12 00:00:00+00:00,83423.83,85905.0,82792.95,85276.9,18470.74437,1557403252.9267516,2501196,9526.72644,803747272.783468,0.022212595344448305,1853.0599999999977,1.0375883453844803,0.5160816707381503,80691.27428571429,83563.40233333333,91480.97700000001
2025-04-13,2025-04-13 00:00:00+00:00,85276.91,86100.0,83034.23,83760.0,24680.04181,2086106375.4392557,3275879,11658.67909,986303246.0931836,-0.017787935537056265,-1516.8999999999942,1.036921761061673,0.47279623786467034,81452.70285714287,83555.96233333334,91361.24255555555
2025-04-14,2025-04-14 00:00:00+00:00,83760.0,85799.99,83678.0,84591.58,28659.09348,2429132805.0815287,3921522,15196.58929,1288815999.1406171,0.009928127984718316,831.5800000000017,1.02535899519587,0.5305662977522387,82228.18000000001,83564.40033333332,91228.25055555557
2025-04-15,2025-04-15 00:00:00+00:00,84591.58,86496.42,83600.0,83643.99,20910.99528,1780972414.3956008,2910533,10439.36072,889895753.1673651,-0.011201942320973268,-947.5899999999965,1.0346461722488038,0.4996684653700065,83274.11857142857,83600.04900000001,91040.991
2025-04-16,2025-04-16 00:00:00+00:00,83643.99,85500.0,83111.64,84030.38,20867.24519,1753910031.2009242,3264730,10456.769,878939829.4848368,0.004619459210398746,386.3899999999994,1.0287367690013096,0.5011316509108599,83476.28428571428,83600.72733333334,90863.69188888889
2025-04-17,2025-04-17 00:00:00+00:00,84030.38,85470.01,83736.26,84947.91,13728.84772,1161659427.386263,2003405,6424.41565,543726754.4187016,0.010919027142326287,917.5299999999988,1.0207048893752837,0.4680603812100836,84239.22857142857,83675.15666666666,90651.14111111111
